source_id,title,authors,venue,year,doi_or_id,official_url,source_type,verification_status,topic,agent_level,cache_semantics,dt_semantics,mobility_handoff,dataset_or_system,baselines,metrics,key_result,code_or_data,limitation,ppo_mec_difference
S01,"Agentic Plan Caching: Test-Time Memory for Fast and Cost-Efficient LLM Agents","Qizheng Zhang; Michael Wornow; Kunle Olukotun","NeurIPS",2025,"NeurIPS-2025-9549f7d0","https://proceedings.neurips.cc/paper_files/paper/2025/hash/9549f7d06700f0966d5f938f1d11022a-Abstract-Conference.html","Peer-reviewed conference","Verified primary","agent plan caching","LLM agent","structured plan template cache","none","none","real-world agent applications","context and semantic caching","cost; latency; task performance","average cost -50.31%; latency -27.28% while maintaining performance","paper page provides paper and BibTeX","no VEC mobility or physical handoff","PPO_MEC can couple plan validity with RSU adapter readiness"
S02,"A-Mem: Agentic Memory for LLM Agents","Wujiang Xu et al.","NeurIPS",2025,"NeurIPS-2025-19909c36","https://proceedings.neurips.cc/paper_files/paper/2025/hash/19909c36f51abc4856b4560aff3d36d6-Abstract-Conference.html","Peer-reviewed conference","Verified primary","agent memory","LLM agent","dynamic linked long-term memory","none","none","six foundation models","existing memory systems","task performance","dynamic indexing linking and memory evolution improve evaluated agents","code link on official page","no systems cost or VEC state semantics","use spatiotemporal provenance and freshness for mobile memory"
S03,"G-Memory: Tracing Hierarchical Memory for Multi-Agent Systems","authors on official proceedings page","NeurIPS",2025,"NeurIPS-2025-136a45cd","https://proceedings.neurips.cc/paper_files/paper/2025/hash/136a45cd9b841bf785625709a19c6508-Abstract-Conference.html","Peer-reviewed conference","Verified primary","multi-agent memory","LLM multi-agent","hierarchical shared memory","none","none","multi-agent benchmarks","single-agent and MAS memory methods","task performance; memory evolution","hierarchical memory supports multi-agent self-evolution","official paper page","not a mobile edge cache system","relevant to shared RSU/vehicle memory but not direct evidence"
S04,"ReCAP: Recursive Context-Aware Reasoning and Planning for Large Language Model Agents","Zhenyu Zhang et al.","NeurIPS",2025,"NeurIPS-2025-88af3540","https://proceedings.neurips.cc/paper_files/paper/2025/hash/88af3540325dd0b70617a9ab605f294d-Abstract-Conference.html","Peer-reviewed conference","Verified primary","long-horizon planning","LLM agent","bounded active context","none","none","Robotouille and reasoning benchmarks","sequential and hierarchical prompting","pass@1; alignment; cost","reports 32% and 29% gains on two Robotouille settings","official paper and supplemental","no networking or mobility resource control","supports slow planner with bounded context above MARL executor"
S05,"GTA: A Benchmark for General Tool Agents","Jize Wang et al.","NeurIPS Datasets and Benchmarks",2024,"10.52202/079017-2412","https://proceedings.neurips.cc/paper_files/paper/2024/hash/8a75ee6d4b2eb0b777f549a32a5a5c28-Abstract-Datasets_and_Benchmarks_Track.html","Peer-reviewed benchmark","Verified primary","tool use evaluation","LLM agent","none","none","none","229 real-world tasks and deployed tools","mainstream LLM agents","task completion; tool use","GPT-4 completed below 50% and most models below 25% in reported evaluation","dataset and code linked","not a cyber-physical real-time benchmark","motivates executable tool and failure-level evaluation"
S06,"TaskBench: Benchmarking Large Language Models for Task Automation","Yongliang Shen et al.","NeurIPS Datasets and Benchmarks",2024,"10.52202/079017-0148","https://proceedings.neurips.cc/paper_files/paper/2024/hash/085185ea97db31ae6dcac7497616fd3e-Abstract-Datasets_and_Benchmarks_Track.html","Peer-reviewed benchmark","Verified primary","task automation","LLM agent","none","none","none","tool graphs","LLM task automation baselines","decomposition; tool selection; parameter prediction","provides TaskEval across three execution stages","official dataset links","synthetic construction plus human verification; no VEC","tool graph can define agentic DAG workload"
S07,"Embodied Agent Interface: Benchmarking LLMs for Embodied Decision Making","Manling Li et al.","NeurIPS Datasets and Benchmarks",2024,"10.52202/079017-3188","https://proceedings.neurips.cc/paper_files/paper/2024/hash/b631da756d1573c24c9ba9c702fde5a9-Abstract-Datasets_and_Benchmarks_Track.html","Peer-reviewed benchmark","Verified primary","embodied decision interfaces","LLM module","none","transition modeling module","embodied temporal tasks","embodied environments","LLM planning baselines","hallucination; affordance; planning error","unifies goal interpretation decomposition sequencing and transition modeling","official paper page","not VEC and no cache system","motivates modular errors beyond total reward"
S08,"AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases","Zhaorun Chen et al.","NeurIPS",2024,"NeurIPS-2024-eb113910","https://proceedings.neurips.cc/paper_files/paper/2024/hash/eb113910e9c3f6242541c1652e30dfd6-Abstract-Conference.html","Peer-reviewed conference","Verified primary","agent security","LLM agent","poisonable long-term memory/RAG","none","none","agent benchmarks","clean and attacked agents","attack success; utility","demonstrates backdoor risk through memory or knowledge-base poisoning","official paper page","no VEC safety controller","mobile shared memory needs provenance and write gate"
S09,"ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models","Jinheon Baek; Sujay Kumar Jauhar; Silviu Cucerzan; Sung Ju Hwang","NAACL Long Papers",2025,"10.18653/v1/2025.naacl-long.342","https://aclanthology.org/2025.naacl-long.342/","Peer-reviewed conference","Verified primary","scientific agent","LLM multi-agent reviewer","literature knowledge store","none","none","multi-discipline scientific publications","idea-generation methods","novelty; clarity; validity evaluations","iterative reviewing agents refine generated research ideas","official paper and PDF","model/human evaluation does not prove experimental correctness","use as research-assist evidence not artifact validation"
S10,"Towards end-to-end automation of AI research","Chris Lu et al.","Nature",2026,"10.1038/s41586-026-10265-5","https://www.nature.com/articles/s41586-026-10265-5","Peer-reviewed journal","Verified primary","AI scientist","LLM agentic tree","research context/artifacts","none","none","AI research tasks","prior autonomous research systems","paper/review quality; cost","automates ideation code experiments analysis writing and review","paper describes system","workshop first-round outcome is not top-journal validation","PPO_MEC audit agent must preserve frozen protocol and human review"
S11,"Accelerating scientific discovery with Co-Scientist","authors on Nature page","Nature",2026,"10.1038/s41586-026-10644-y","https://www.nature.com/articles/s41586-026-10644-y","Peer-reviewed journal","Verified primary","scientific hypothesis generation","LLM multi-agent","hypothesis memory/evolution","none","none","biomedical/scientific objectives","agent and human comparisons","hypothesis quality; experimental support","specialized agents generate reflect rank evolve and meta-review hypotheses","publication page","domain-specific validation and no network systems protocol","supports role-separated reviewer/verifier design"
S12,"A multi-agent system for automating scientific discovery","authors on Nature page","Nature",2026,"10.1038/s41586-026-10652-y","https://www.nature.com/articles/s41586-026-10652-y","Peer-reviewed journal","Verified primary","scientific discovery automation","LLM multi-agent","literature and analysis state","none","none","experimental biology; dAMD","scientific agent baselines","hypothesis and experimental validation","Robin integrates literature search data analysis and iterative hypotheses","publication page","biology-specific semi-autonomous system","supports closed-loop evidence ledger concept only"
S13,"Autonomous chemical research with large language models","Daniil A. Boiko et al.","Nature",2023,"10.1038/s41586-023-06792-0","https://www.nature.com/articles/s41586-023-06792-0","Peer-reviewed journal","Verified primary","tool-using science agent","LLM multi-agent","documentation/context","none","none","cloud laboratory and chemistry tasks","human/tool workflows","execution success; optimization","Coscientist plans and executes experiments using search code and lab tools","paper page","chemistry and controlled hardware setting","demonstrates typed tool execution but not VEC control"
S14,"Resource Allocation for Twin Maintenance and Task Processing in Vehicular Edge Computing Network","authors on IEEE Xplore page","IEEE Internet of Things Journal",2025,"10.1109/JIOT.2025.3576582","https://ieeexplore.ieee.org/abstract/document/11023535/","Peer-reviewed journal","Verified primary","VEC digital twin resource allocation","MADRL agents","none","vehicle twin maintenance and task processing","vehicular","simulation","alternative resource algorithms","delay; resource allocation","jointly schedules competing twin maintenance and task processing resources","no public code identified on page","no adapter/plan cache or continuous DAG","strong nearest neighbor against generic DT+VEC novelty"
S15,"Federated Reinforcement Learning-Empowered Task Offloading for Large Models in Vehicular Edge Computing","authors on IEEE Xplore page","IEEE Transactions on Vehicular Technology",2025,"10.1109/TVT.2024.3481876","https://ieeexplore.ieee.org/abstract/document/10720029","Peer-reviewed journal","Verified primary","large-model VEC offloading","federated MARL","large-model task abstraction","none","vehicular cooperation","simulation","alternative offloading algorithms","delay; energy; completion","uses auxiliary vehicles and federated reinforcement learning for large-model task offloading","no public code identified","no adapter cache continuous DAG or RSU handoff state","large-model wording alone is not novel"
S16,"Cooperative Edge Caching for Profit Maximization Based on Multi-agent Deep Reinforcement Learning","authors on IEEE Xplore page","IEEE Transactions on Mobile Computing",2026,"10.1109/TMC.2026.3710512","https://ieeexplore.ieee.org/abstract/document/11595728","Peer-reviewed journal","Verified primary","cooperative edge caching","CTDE MADRL","edge content/cache configuration","none","time-varying edge demand","edge testbed","P4LRU; DDQN-ECMP; MADRL","profit; latency; access cost","reports +25.58% profit -43.32% latency -17.30% access cost","edge testbed reported","not VEC DAG or adapter warm-state migration","eliminates cooperative cache+CTDE as standalone novelty"
